Job Title,Company,Salary,Job Description,Work Location,Department,Employment Type,Shift,Experience,Education,Avg_Salary
Data Engineer,Kotak Mahindra Bank,,"Business Intelligence-II-SUPPORT SERVICES-CTO Head, Data Engineer -1 (Experience – 0-2 years), What we offer, Our mission is simple – Building trust. Our customer's trust in us is not merely about the safety of their assets but also about how dependable our digital offerings are. That’s why, we at Kotak Group are dedicated to transforming banking by imbibing a technology-first approach in everything we do, with an aim to enhance customer experience by providing superior banking services. We welcome and invite the best technological minds in the country to come join us in our mission to make banking seamless and swift. Here, we promise you meaningful work that positively impacts the lives of many., About our team, DEX is a central data org for Kotak Bank which manages entire data experience of Kotak Bank. DEX stands for Kotak’s Data Exchange. This org comprises of Data Platform, Data Engineering and Data Governance charter. The org sits closely with Analytics org. DEX is primarily working on greenfield project to revamp entire data platform which is on premise solutions to scalable AWS cloud-based platform. The team is being built ground up which provides great opportunities to technology fellows to build things from scratch and build one of the best-in-class data lake house solutions. The primary skills this team should encompass are Software development skills preferably Python for platform building on AWS; Data engineering Spark (pyspark, sparksql, scala) for ETL development, Advanced SQL and Data modelling for Analytics., The org size is expected to be around 100+ member team primarily based out of Bangalore comprising of ~10 sub teams independently driving their charter., As a member of this team, you get opportunity to learn fintech space which is most sought-after domain in current world, be a early member in digital transformation journey of Kotak, learn and leverage technology to build complex data data platform solutions including, real time, micro batch, batch and analytics solutions in a programmatic way and also be futuristic to build systems which can be operated by machines using AI technologies., The data platform org is divided into 3 key verticals:, Data Platform, This Vertical is responsible for building data platform which includes optimized storage for entire bank and building centralized data lake, managed compute and orchestrations framework including concepts of serverless data solutions, managing central data warehouse for extremely high concurrency use cases, building connectors for different sources, building customer feature repository, build cost optimization solutions like EMR optimizers, perform automations and build observability capabilities for Kotak’s data platform. The team will also be center for Data Engineering excellence driving trainings and knowledge sharing sessions with large data consumer base within Kotak., Data Engineering, This team will own data pipelines for thousands of datasets, be skilled to source data from 100+ source systems and enable data consumptions for 30+ data analytics products. The team will learn and built data models in a config based and programmatic and think big to build one of the most leveraged data model for financial orgs. This team will also enable centralized reporting for Kotak Bank which cuts across multiple products and dimensions. Additionally, the data build by this team will be consumed by 20K + branch consumers, RMs, Branch Managers and all analytics usecases., Data Governance, The team will be central data governance team for Kotak bank managing Metadata platforms, Data Privacy, Data Security, Data Stewardship and Data Quality platform., If you’ve right data skills and are ready for building data lake solutions from scratch for high concurrency systems involving multiple systems then this is the team for you., You day to day role will include, Drive business decisions with technical input and lead the team., Design, implement, and support an data infrastructure from scratch., Manage AWS resources, including EC2, EMR, S3, Glue, Redshift, and MWAA., Extract, transform, and load data from various sources using SQL and AWS big data technologies., Explore and learn the latest AWS technologies to enhance capabilities and efficiency., Collaborate with data scientists and BI engineers to adopt best practices in reporting and analysis., Improve ongoing reporting and analysis processes, automating or simplifying self-service support for customers., Build data platforms, data pipelines, or data management and governance tools., BASIC QUALIFICATIONS for Data Engineer/ SDE in Data, Bachelor's degree in Computer Science, Engineering, or a related field, Experience in data engineering, Strong understanding of AWS technologies, including S3, Redshift, Glue, and EMR, Experience with data pipeline tools such as Airflow and Spark, Experience with data modeling and data quality best practices, Excellent problem-solving and analytical skills, Strong communication and teamwork skills, Experience in at least one modern scripting or programming language, such as Python, Java, or Scala, Strong advanced SQL skills, PREFERRED QUALIFICATIONS, AWS cloud technologies: Redshift, S3, Glue, EMR, Kinesis, Firehose, Lambda, IAM, Airflow, Prior experience in Indian Banking segment and/or Fintech is desired., Experience with Non-relational databases and data stores, Building and operating highly available, distributed data processing systems for large datasets, Professional software engineering and best practices for the full software development life cycle, Designing, developing, and implementing different types of data warehousing layers, Leading the design, implementation, and successful delivery of large-scale, critical, or complex data solutions, Building scalable data infrastructure and understanding distributed systems concepts, SQL, ETL, and data modelling, Ensuring the accuracy and availability of data to customers, Proficient in at least one scripting or programming language for handling large volume data processing, Strong presentation and communications skills.","Mumbai, 1288-Mumbai - Kotak Infiniti-MAH, Kotak Infiniti, Building No. 21, Infinity Park, Bangalore, Karnataka, India",Data Science & Analytics,Full Time,Day Shift,Any experience,NaN,17500
Associate Software Engineer- ML,Techvariable,,"Associate Software Engineer- ML, Roles and Responsibilities:, Assist in designing, training, and optimizing machine learning models., Support the development of scalable data pipelines for ML workflows., Perform exploratory data analysis and data preprocessing tasks., Collaborate with senior engineers and data scientists to implement solutions., Test and validate machine learning models for accuracy and efficiency., Document workflows, processes, and key learnings., Required Skills:, Education:, Bachelor’s or Master’s degree in Computer Science, Information Technology, or related field, Technical Skills:, Basic proficiency in Python and knowledge of libraries like NumPy, Pandas, Scikit-learn, Tensorflow., Familiarity with SQL and basic data querying., Understanding of foundational machine learning concepts and algorithms., Exposure to cloud platforms (e.g., AWS, GCP, Azure) is a plus, Experience:, 0-1 years of experience in data engineering or related fields., Soft Skills:, Strong analytical skills and the ability to troubleshoot complex issues., Leadership skills to guide junior team members and drive team success., Preferred Skills/Qualifications, Education:, Bachelor’s degree in Computer Science, Information Technology, or related field., Technical Skills:, Fluent in Scikit-learn, Pytorch and Tensorflow., Basic understanding of containerization tools like Docker., Exposure to data visualization tools or frameworks., Experience:, 0-1 year, Key Performance Indicators:, Demonstrate progress in understanding and applying ML concepts., Successfully assist in completing ML or data-related tasks within set timelines.",Guwahati,IT & Information Security,Full Time,Day Shift,Any experience,NaN,17500
Associate Software Engineer- ML,Techvariable,,"Associate Software Engineer- ML, Roles and Responsibilities:, Assist in designing, training, and optimizing machine learning models., Support the development of scalable data pipelines for ML workflows., Perform exploratory data analysis and data preprocessing tasks., Collaborate with senior engineers and data scientists to implement solutions., Test and validate machine learning models for accuracy and efficiency., Document workflows, processes, and key learnings., Required Skills:, Education:, Bachelor’s or Master’s degree in Computer Science, Information Technology, or related field, Technical Skills:, Basic proficiency in Python and knowledge of libraries like NumPy, Pandas, Scikit-learn, Tensorflow., Familiarity with SQL and basic data querying., Understanding of foundational machine learning concepts and algorithms., Exposure to cloud platforms (e.g., AWS, GCP, Azure) is a plus, Experience:, 0-1 years of experience in data engineering or related fields., Soft Skills:, Strong analytical skills and the ability to troubleshoot complex issues., Leadership skills to guide junior team members and drive team success., Preferred Skills/Qualifications, Education:, Bachelor’s degree in Computer Science, Information Technology, or related field., Technical Skills:, Fluent in Scikit-learn, Pytorch and Tensorflow., Basic understanding of containerization tools like Docker., Exposure to data visualization tools or frameworks., Experience:, 0-1 year, Key Performance Indicators:, Demonstrate progress in understanding and applying ML concepts., Successfully assist in completing ML or data-related tasks within set timelines.",Bangalore,IT & Information Security,Full Time,Day Shift,Any experience,NaN,17500
Python Developer,Qtech Software Pvt. Ltd.,,"Python Developer, Must Have Knowledge / Skills:, Machine Learning, Tensor Flow, Spacy, NLP, Flask, Django, Data Scrapping, Preferred qualifications:, Any Technical Graduate (BE / B.tech / B.Sc. / BCA / MCA Computer Science ), Desirable Background, Understanding of at least one Python framework -Django or Flask, Good knowledge of writing MySQL queries, Excellent Problem-Solving skills, Responsibilities, Should be able to do Research & Development Online to create the application with explained Logics., Documentation while building application (LLD)., Creative mind to develop innovative and unique solutions to complex problems on high traffic applications., Should be able to work independently on the development of the applications.",Mumbai,Software Engineering,Full Time,Day Shift,Freshers only,NaN,17500
Data Entry Operator,Rt Network Solutions Private Limited,₹15000- ₹18000,"Job Description:, Work Location:, Hybrid., Shift:, Flexible to work in shifts, Data Entry Operator, 2D & 3D data entry, Computer knowledge, Participate in training sessions, Ensure accuracy and consistency data entry","Metiabruz, Kolkata, West Bengal, India",Admin / Back Office / Computer Operator,Full Time,Day Shift,Any experience,Graduate,16500
Full-stack Developer,Varnav Infotech LLP,₹15000- ₹20000,"Position:, Full Stack Developer, Location:, On-site, Employment Type:, Full - Time, About the Role:, We are looking for a, Full Stack Developer, who is proficient in, both English and an Indian regional language, (Hindi, Tamil, Telugu, Bengali, Marathi, etc.). The ideal candidate will have hands-on experience in, front-end and back-end development, and should be comfortable working in a multilingual environment. You will collaborate with teams to build, test, and deploy scalable web applications while ensuring clear communication with stakeholders., Key Responsibilities:, , Front-End Development:, o Develop responsive web interfaces using, React, Angular, or Vue.js., o Work with, HTML, CSS, JavaScript/TypeScript, to create user-friendly designs., o Ensure mobile-friendly and cross-browser compatibility., , Back-End Development:, o Build server-side logic using, Node.js, Python (Django/Flask), PHP, or Java., o Design and manage, RESTful/GraphQL APIs., o Work with databases (, MySQL, PostgreSQL, MongoDB, )., , Full Stack Integration:, o Connect front-end and back-end systems efficiently., o Implement, user authentication (JWT, OAuth), and security best practices., o Optimize applications for performance and scalability., , Communication & Collaboration:, o Interact with team members and clients in, Basic English and an Indian regional language, ., o Document code and project requirements clearly in, simple English., Required Skills & Qualifications:, , Technical Skills:, o 1+ years of experience in, full stack development., o Proficiency in, JavaScript (React/Node.js) or Python/Java/PHP., o Experience with databases (, SQL/NoSQL, ) and API development., o Familiarity with, Git, Docker, AWS/Azure, (basic knowledge)., , Language Skills:, o, Basic English proficiency, (reading/writing/speaking)., o Fluency in, at least one Indian regional language, (Hindi, Tamil, Telugu, Kannada, Bengali, Marathi, etc.)., , Soft Skills:, o Strong problem-solving abilities., o Ability to work in a team and communicate effectively., o Willingness to learn and adapt to new technologies., Nice to Have (Optional):, Experience with, mobile app development (React Native/Flutter), ., Knowledge of, DevOps practices (CI/CD, Kubernetes)., Familiarity with, AI/ML basics, is a plus., Benefits:, Competitive salary (₹18,000 - ₹20,000) with performance-based increments., 2 paid leaves per month will be eligible only after completing 1 month of service., 4 Days Off in a month (once a week)., Opportunities for skill development.","D-234 Second Floor, Phase 8b,Phase-8,Industrial Area,Sector 74, Sahibbzada Ajit Singh Nagar,Punjab,160055",Department,Employment type,Shift,Any experience,Graduate,17500
Junior Python Developer,Coleda Pvt Ltd.,,"Jr.Python Developer, We are seeking a motivated and detail-oriented Jr. Python Developer to join our dynamic team. The ideal candidate will have a strong foundation in Python programming and basic familiarity with data handling using Pandas, MySQL, Excel, and CSV operations. Additionally, a basic understanding of web scraping techniques using Selenium, XPath, and BeautifulSoup is essential. This is an excellent opportunity for a recent graduate or a developer with some experience looking to further their skills and grow within a collaborative environment., Job Role :, Assist in developing and maintaining Python scripts for data processing and automation tasks., Work with large datasets, performing data cleaning, transformation, and analysis using Pandas., Develop and execute SQL queries to manage and retrieve data from MySQL databases., Handle CSV files and Excel spreadsheets for data import/export, manipulation, and reporting., Implement basic web scraping techniques using Selenium and BeautifulSoup to extract data from websites., Collaborate with senior developers to improve existing processes and contribute to new projects., Troubleshoot, debug, and optimize Python scripts and database queries., Document your work and ensure code quality through version control systems and best practices., Skills:, Proficiency in using Excel, Contributing to all phases of development, Technical Skill:, Python: Solid understanding of Python programming concepts and syntax., Pandas: Basic experience in data manipulation and analysis with Pandas., MySQL: Ability to write and understand basic SQL queries., Excel: Proficiency in using Excel for data analysis and reporting., CSV Operations: Familiarity with handling CSV files for data input and output., Selenium: Basic knowledge of Selenium for browser automation and web scraping., XPath: Understanding of XPath for navigating and selecting elements in XML/HTML documents., BeautifulSoup: Basic experience with BeautifulSoup for parsing and scraping web content., Version Control: Familiarity with Git or other version control systems., EDUCATION:, Bachelor’s degree in Computer Science, Information Technology, or a related field., Relevant certifications or coursework in Python, web scraping, or database management is a plus., Open to recent graduates or candidates with up to 6 months – 1 year of experience in a similar role or 3-4 Individual Projects in above mentioned technologies.",Pune,Software Engineering,Full Time,Day Shift,Any experience,NaN,17500
Software Developer,Bright Infotech,₹5000- ₹15000,"A Software Developer job description typically involves designing, building, testing, and maintaining software applications, requiring strong programming skills, problem-solving abilities, and collaboration with other professionals","Kharadi Bypass, Lane Number 6, Shree Ram Society, Pune International Airport Area, Lohegaon, Pune, Maharashtra, India",Department,Employment type,Shift,Freshers only,Graduate,10000
Python Developer,Qtech Software Pvt. Ltd.,,"Python Developer, Must Have Knowledge / Skills:, Machine Learning, Tensor Flow, Spacy, NLP, Flask, Django, Data Scrapping, Preferred qualifications:, Any Technical Graduate (BE / B.tech / B.Sc. / BCA / MCA Computer Science ), Desirable Background, Understanding of at least one Python framework -Django or Flask, Good knowledge of writing MySQL queries, Excellent Problem-Solving skills, Responsibilities, Should be able to do Research & Development Online to create the application with explained Logics., Documentation while building application (LLD)., Creative mind to develop innovative and unique solutions to complex problems on high traffic applications., Should be able to work independently on the development of the applications.",Mumbai,Software Engineering,Full Time,Day Shift,Freshers only,NaN,17500
PHP Programmer,IT Nucleus Websolutions,,"PHP Programmer, Qualification, :- B.Tech/B.E./M.C.A./Diploma 1 year (I.T.), Experience, :- Minimum 6months –1year of experience working in PHP programming., Description, :- The person is required to work in PHP and my sql database, he should able to solve his problem himself using internet and can solve problems of other members in his team.",Delhi,IT & Information Security,Full Time,Day Shift,Any experience,NaN,17500
PHP Developer,Eminenture Private Limited,,"PHP Developer, Responsibilities, Must have a strong understanding of UI, Strong knowledge of the open source of any of these-WordPress, Joomla, Drupal, Magento, Good understanding on MVC framework, Concrete knowledge of security principles and how to apply to e-Commerce applications, Expertise in web applications development and programming languages such as HTML5, CSS3, JavaScript, JQuery and API’s Solid, Able to make on-time delivery of the project per specifications with quality, Education, B.E./ B.Tech/ BCA",Delhi,Software Engineering,Full Time,Day Shift,Freshers only,NaN,17500
Bigdata Developer,Tata Consultancy Services (Tcs),,"Bigdata Developer, Role- Bigdata Developer, Experience-4 to 10 years, Location- Trivandrum, Skills Required-, Set 1: Big data Hadoop, Hive developer, Set 2: Big Data, SQL, AIML & GCP, Set 3: Bigdata, Hive, Python, Spark, Sql, Unix, Set 4: Data Engineer(BigData, PySpark, Scala), Set 5: Java, Bigdata with GCP expsosure, Set 6: Big Data, GCP, API, Set 7: Spark; PySpark; Hive; SQL; GCP; ETL - Big Data / Data, Warehousing, At least one of the set is required.",Trivandrum,IT & Information Security,Full Time,Day Shift,Min. 4 years,NaN,17500
Platform Development and Support Engineer,Qualcomm India Private Limited,,"Platform Dev & Support Engineer (Python, NoSQL, Devops), Company:, Qualcomm India Private Limited, Job Area:, Information Technology Group, Information Technology Group > IT Software Developer, General Summary:, Qualcomm EDAAP (Engineering Solutions and AIML) team is seeking an experienced develop and support scalable Machine learning platform. The ideal candidate will have a strong background in building and operating distributed systems, with expertise in Rust, Python, Kubernetes, and Linux. You will play a critical role in developing, supporting and debugging our Generative AI platforms., Experience:, 3 to 7 years of experience strong knowledge of Python or Rust, NoSQL (Mongo/Redis), working experience of developing/supporting large scale end user facing applications., Responsibilities, • Develop, Debug and support end to end components of large-scale Generative AI platform., • Set up and operate Kubernetes clusters for efficient deployment and management of containerized applications, • Implement distributed microservices architecture to enable scalable and fault-tolerant inference pipelines, • Ensure optimal performance, security, and reliability of inference platforms, leveraging expertise in Linux, networking, servers, and data centers, • Develop and maintain scripts and tools for automating deployment, monitoring, and maintenance tasks, • Troubleshoot issues and optimize system performance, using knowledge of data structures and algorithms, • Work closely with users to debug issues and address performance and scalability issues., • Participate in code reviews, contributing to the improvement of the overall code quality and best practices, Requirements/Skills, • 3 to 7 years of experience in software development, with a focus on building scalable and distributed systems, • Proficiency in Rust and Python programming languages, with experience in developing high-performance applications, • Experience setting up and operating Kubernetes clusters, including deployment, scaling, and management of containerized applications, • Strong understanding of distributed microservices architecture and its application in large-scale systems, • Excellent knowledge of Linux, including shell scripting, package management, and system administration, • Good understanding of networking fundamentals, including protocols, architectures, and network security, • Familiarity with data structures and algorithms, including trade-offs and optimization techniques, • Experience debugging complex production issues in large scale application platforms., • Experience working with cloud-native technologies, such as containers, orchestration, and service meshes, • Strong problem-solving skills, with the ability to debug complex issues and optimize system performance, • Excellent communication and collaboration skills, with experience working with cross-functional teams and customers, Minimum Qualifications:, •    3+ years of IT-relevant work experience with a Bachelor's degree in a technical field (e.g., Computer Engineering, Computer Science, Information Systems)., OR, 5+ years of IT-relevant work experience without a Bachelor’s degree., •    3+ years of any combination of academic or work experience with Full-stack Application Development (e.g., Java, Python, JavaScript, etc.), •    1+ year of any combination of academic or work experience with Data Structures,  algorithms, and data stores., • Develop, Debug and support end to end components of large-scale Generative AI platform., • Set up and operate Kubernetes clusters for efficient deployment and management of containerized applications, • Implement distributed microservices architecture to enable scalable and fault-tolerant inference pipelines, • Ensure optimal performance, security, and reliability of inference platforms, leveraging expertise in Linux, networking, servers, and data centers, • Develop and maintain scripts and tools for automating deployment, monitoring, and maintenance tasks, • Troubleshoot issues and optimize system performance, using knowledge of data structures and algorithms, • Work closely with users to debug issues and address performance and scalability issues., • Participate in code reviews, contributing to the improvement of the overall code quality and best practices, • 3 to 7 years of experience in software development, with a focus on building scalable and distributed systems, • Proficiency in Rust and Python programming languages, with experience in developing high-performance applications, • Experience setting up and operating Kubernetes clusters, including deployment, scaling, and management of containerized applications, • Strong understanding of distributed microservices architecture and its application in large-scale systems, • Excellent knowledge of Linux, including shell scripting, package management, and system administration, • Good understanding of networking fundamentals, including protocols, architectures, and network security, • Familiarity with data structures and algorithms, including trade-offs and optimization techniques, • Experience debugging complex production issues in large scale application platforms., • Experience working with cloud-native technologies, such as containers, orchestration, and service meshes, • Strong problem-solving skills, with the ability to debug complex issues and optimize system performance, • Excellent communication and collaboration skills, with experience working with cross-functional teams and customers, Bachelors (Engineering) or Masters, Applicants, :, Qualcomm is an equal opportunity employer. If you are an individual with a disability and need an accommodation during the application/hiring process, rest assured that Qualcomm is committed to providing an accessible process. You may e-mail, disability-accomodations@qualcomm.com, or call Qualcomm's toll-free number found, here, . Upon request, Qualcomm will provide reasonable accommodations to support individuals with disabilities to be able participate in the hiring process. Qualcomm is also committed to making our workplace accessible for individuals with disabilities. (Keep in mind that this email address is used to provide reasonable accommodations for individuals with disabilities. We will not respond here to requests for updates on applications or resume inquiries)., Qualcomm expects its employees to abide by all applicable policies and procedures, including but not limited to security and other requirements regarding protection of Company confidential information and other confidential and/or proprietary information, to the extent those requirements are permissible under applicable law., To all Staffing and Recruiting Agencies, :, Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited, resumes/applications., If you would like more information about this role, please contact, Qualcomm Careers, .",Hyderabad,IT & Information Security,Full Time,Day Shift,Min. 3 years,NaN,17500
Data Analyst,Antony Lara Enviro Solutions Private Limited,₹10000- ₹15000,"Key Responsibilities:Interpret data and analyze results using statistical techniques, Develop and maintain reports, dashboards, and data visualizations, Identify, analyze, and interpret trends or patterns in complex datasets, Collaborate with cross-functional teams to gather requirements and deliver data-driven insights, Create automated reports and data dashboards, Maintain data accuracy, integrity, and security, Required Skills & Qualifications:Bachelor's degree in Mathematics, Economics, Computer Science, Information Management, or related field, Proven working experience as a Data Analyst or Business Data Analyst (2–4 years), Advanced Excel skills, – Pivot Tables, VLOOKUP, HLOOKUP, Power Query, Macros, etc., Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information, Knowledge of SQL and BI tools (e.g., Power BI, Tableau) is a plus, Excellent communication and presentation skills, Preferred Qualifications:Experience working with large datasets, Understanding of database structures and data warehousing concepts, Exposure to Python or R for data analysis (optional), Kindly drop the resume - dikshita.kodag@antonywaste.in","Navi Mumbai, Maharashtra, India",Data Science & Analytics,Full Time,Day Shift,Any experience,Graduate,12500
Decision Science Practitioner Analyst,Accenture India Private Limited,,"I&F Decision Science Practitioner Senior Analyst, Skill required:, Delivery - Marketing Analytics and Reporting, Designation:, I&F Decision Science Practitioner Senior Analyst, Qualifications:, Any Graduation, Years of Experience:, 5 to 8 Years, About Accenture, Accenture is a global professional services company with leading capabilities in digital, cloud and security.Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s largest network of Advanced Technology and  Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries.  We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and  communities.Visit us at www.accenture.com, What would you do?, Data    &    AI, Analytical    processes    and    technologies    applied    to    marketing-related    data    to    help    businesses    understand    and    deliver    relevant    experiences    for    their    audiences,    understand    their    competition,    measure    and    optimize    marketing    campaigns,    and    optimize    their    return    on    investment., What are we looking for?, •    Data    Science, •    Python    (Programming    Language), •    Customer    Insight    &    Marketing    Analytics, •    Agility    for    quick    learning, •    Commitment    to    quality, •    Prioritization    of    workload, •    Ability    to    manage    multiple    stakeholders, •    Ability    to    perform    under    pressure, Roles and Responsibilities:, •    In    this    role    you    are    required    to    do    analysis    and    solving    of    increasingly    complex    problems, •    Your    day-to-day    interactions    are    with    peers    within    Accenture, •    You    are    likely    to    have    some    interaction    with    clients    and/or    Accenture    management, •    You    will    be    given    minimal    instruction    on    daily    work/tasks    and    a    moderate    level    of    instruction    on    new    assignments, •    Decisions    that    are    made    by    you    impact    your    own    work    and    may    impact    the    work    of    others, •    In    this    role    you    would    be    an    individual    contributor    and/or    oversee    a    small    work    effort    and/or    team, •    Please    note    that    this    role    may    require    you    to    work    in    rotational    shifts",Mumbai,Data Science & Analytics,Full Time,Day Shift,Any experience,NaN,17500
Senior Data Analyst,EXL SERVICES,,"Senior Executive, 0-2 years of experience, using Microsoft SQL Server, (version 2008 or later)., Ability to create and maintaining complex, T-SQL queries, views, and stored procedures, ., Ability to monitor the performance and improve the performance by, optimizing the code and by creating indexes, ., Requirement –, General, Proficient with, Microsoft Access and Microsoft Excel, Knowledge of descriptive, statistical modeling methodologies, and techniques such as classification, regression, and association activities to support statistical analysis in various healthcare data., Strong knowledge of, Data Warehousing concepts, Strong written, verbal and Customer service skills, Proficiency in compiling data,, creating reports and presenting information, , including expertise with query, MS Excel and / or other such product like SSRS, Tableau, PowerBI, etc, Proficiency on various data forms including but not limited to star and snowflake schemas., Ability to translate business needs into practical applications, Desire to work within a fast-paced environment, Ability to work in a team environment and be flexible in taking on various projects, Proven experience working in a fast-paced environment supporting multiple concurrent projects",Chennai,Data Science & Analytics,Full Time,Day Shift,Any experience,NaN,17500
Business Intelligence Analyst,NTT India,,"Business Intelligence Analyst, - Analyze and interpret complex data sets to inform business decisions., - Collaborate with various departments to gather data and provide insights., - Develop and maintain dashboards and reports for performance tracking., - Utilize data visualization tools to present findings effectively., - Stay updated with industry trends and best practices in business intelligence., - Support decision-making processes through data-driven recommendations.",Mumbai,Data Science & Analytics,Full Time,Day Shift,Any experience,NaN,17500
Analytics Associate,Wells Fargo India Solutions Pvt Ltd,,"Analytics Associate, About this role:, Wells Fargo is seeking a Analytics Associate., In this role, you will:, Use data research capabilities to translate business problems and data needs into low complexity analyses and recommendations, Develop standard and customized reports or ad hoc analyses to be leveraged for recommendations, Provide updates to project logs, monthly budget forecasts, and contribute to monthly newsletters or operations reviews, Participate in projects including assisting systems support group with design, programming, research, testing, and implementation aspects, Assist in troubleshooting and problem solving with respect to production or issuance issues, Assist with developing departmental and division procedures, policies, and controls to maintain the accuracy and efficiency of processes and minimize the risk of incorrect production and issuance output, Work on data and business research projects, secondary research testing, or results oriented intelligence, Receive direction from supervisor, exercise independent judgment and partner with technology and other business groups, Participate with other consultants or program managers on tasks related to the completion of other various projects including project design, collection and research of data, report preparation, or presentation design, Required Qualifications:, 6+ months of Analytics experience, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education, Desired Qualifications:, 0 - 6 months of Analytics experience using Python, SQL, Automation, Tableau / PowerBI. Should have good basics of Machine Learning like NLP, OCR, Forecasting, Classification Models and Statistics. Good Business Consulting and Communication skills, Posting End Date:, 9 Apr 2025, *Job posting may come down early due to volume of applicants., We Value Diversity, At Wells Fargo, we believe in diversity, equity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law., Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit’s risk appetite and all risk and compliance program requirements., Candidates applying to job openings posted in US: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other legally protected characteristic., Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process., Applicants with Disabilities, To request a medical accommodation during the application or interview process, visit, Disability Inclusion at Wells Fargo, ., Drug and Alcohol Policy, Wells Fargo maintains a drug free workplace.  Please see our, Drug and Alcohol Policy, to learn more., Wells Fargo Recruitment and Hiring Requirements:, a. Third-Party recordings are prohibited unless authorized by Wells Fargo., b. Wells Fargo requires you to directly represent your own experiences during the recruiting and hiring process.","Bengaluru, India",Data Science & Analytics,Full Time,Day Shift,Freshers only,NaN,17500
Backend Developer,LearnKaro Education Technologies Private Limited,₹20000- ₹40000,"We are hiring a, Backend Python Developer, to join our fast-paced, innovation-driven product team. As part of our, technology division, , you will be building scalable backend systems to power, our trading automation platform, education delivery systems, and analytics infrastructure, ., Required Skills:✅ Strong proficiency in, Python, ✅ Frameworks:, FastAPI, Django, Flask (any), ✅ Databases:, MongoDB, PostgreSQL, MySQL, ✅ API Development & Integration, ✅ Familiarity with, Docker, , GitHub, and Linux-based environments, ✅ Problem-solving attitude with understanding of system performance, ✅ Optional but Preferred: Experience with, Broker APIs, like DHAN, Kite, or Upstox, Key Responsibilities are:, Backend Development:, Design, develop, and maintain scalable backend services using, Python, ,, FastAPI, , or, Django, ., Build, RESTful APIs, and data pipelines to support web & mobile applications., Write clean, efficient, and reusable code with strong focus on performance., 📊 Database & Data Handling:, Integrate and optimize databases like, MongoDB, ,, PostgreSQL, , or, MySQL, ., Ensure data accuracy, indexing, and fast query responses., Manage data models, migrations, and versioning., ⚙️ System Architecture:, Participate in designing, microservices-based architecture, for real-time applications., Implement, scalable and secure backend solutions, for large concurrent users., 🔄 API Integrations:, Integrate with third-party APIs including, trading platforms (DHAN, Zerodha, etc.), , CRMs, and other services., Handle real-time data exchange using, WebSockets and API polling, ., 🚨 Security & Compliance:, Apply, best practices in authentication, authorization, and encryption, ., Ensure compliance with, SEBI regulations, and data privacy norms for trading modules., 🛠️ DevOps & Testing:, Work with, Git, Docker, and CI/CD pipelines, for streamlined deployments., Write, unit tests, perform debugging, , and ensure production-readiness of applications.","24, Kamal Colony Delhi Road Near Dominos Pizza, Kamal Colony, Avas Vikas Colony, Dara Shivpuri, Saharanpur, Uttar Pradesh 247001, India",Department,Employment type,Shift,Any experience,Graduate,30000
Wordpress Developer,Excent Solutions,₹12000- ₹16000,"We are looking to hire a skilled WordPress developer to design and implement attractive and functional websites for our clients. You will be responsible for both back-end and front-end development including the implementation of WordPress themes and plugins as well as site integration and security updates., Responsibilities:, Designing and building the website front-end., Creating the website architecture., Designing and managing the website back-end including database and server integration., Generating WordPress themes and plugins., Conducting website performance tests., Troubleshooting content issues., Conducting WordPress training with the client., Monitoring the performance of the live website., WordPress Developer Requirements:, Bachelor’s degree in computer science or a similar field., Proven work experience as a WordPress developer., Knowledge of front-end technologies including CSS3, JavaScript, HTML5, jQuery., Should have knowledge of Figma and Shopify.","Bestech Business Tower, Parkview Residence Colony, Sector 66, Sahibzada Ajit Singh Nagar, Punjab, India",Software Engineering,Full Time,Day Shift,Any experience,Graduate,14000
